visual_id,type,title_or_question,manuscript_citation,source_artifact,generator,generation_method,external_content,license_or_permission,status
Table1,table,"Which adjacent research lines cover constraints, MLOps integration, and promotion gates?",Related Work before Table 1,results/final/manuscript_literature_matrix.csv,docs/manuscript_citi2027/manuscript_citi2027_anonymous.tex,"Compact synthesis transcribed from the verified literature matrix",None,Not applicable,VERIFIED
Fig1,figure,"How are training validation-only policy selection and frozen-policy TEST application separated?",Methodology before Figure 1,"src/security/gate.py; configs/security_gate.yaml; results/security_gate/frozen_policy.json",docs/manuscript_citi2027/manuscript_citi2027_anonymous.tex,"Original vector TikZ architecture diagram; TEST has no arrow into policy selection",None,Not applicable,VERIFIED
Table2,table,"What source candidate and experimental populations and splits define the experiment?",Methodology before Table 2,"results/data_profile/*_profile.json; results/data_profile/*duplicate_audit.json; results/data_profile/edge_iiotset_cleaning_policy.json; dataset configs",docs/manuscript_citi2027/manuscript_citi2027_anonymous.tex,"LaTeX table transcribed from reconciled artifacts",None,Not applicable,VERIFIED
Table3,table,"How well do the frozen models perform on clean full-test data?",Results before Table 3,results/final/table_clean_baselines.csv,docs/manuscript_citi2027/manuscript_citi2027_anonymous.tex,"LaTeX table transcribed from reconciled artifact",None,Not applicable,VERIFIED
Table4,table,"What is the worst valid adversarial outcome for each dataset?",Results before Table 4,results/final/table_worst_case_robustness.csv,docs/manuscript_citi2027/manuscript_citi2027_anonymous.tex,"LaTeX table transcribed from reconciled artifact",None,Not applicable,VERIFIED
Fig2,figure,"How does clean attack recall compare with worst-case adversarial recall and seed variation?",Results before Figure 2,"results/final/table_worst_case_robustness.csv; results/final/table_robustness_gap.csv",docs/manuscript_citi2027/manuscript_citi2027_anonymous.tex,"Original vector pgfplots point-and-error-bar chart",None,Not applicable,VERIFIED
Fig3,figure,"How does recall respond to attack type and perturbation budget for each dataset?",Results before Figure 3,results/final/budget_response_analysis.csv,docs/manuscript_citi2027/manuscript_citi2027_anonymous.tex,"Original vector three-panel pgfplots line chart with dataset-specific scales and explicit three-decimal CIC ticks",None,Not applicable,VERIFIED
Table5,table,"Which candidates change decision under the full gate?",Results before Table 5,"results/security_gate/gate_decisions_test.csv; results/final/table_gate_value_added.csv",docs/manuscript_citi2027/manuscript_citi2027_anonymous.tex,"LaTeX table transcribed from reconciled artifacts",None,Not applicable,VERIFIED
Fig4,figure,"What are the per-seed PASS/BLOCK outcomes?",Results before Figure 4,results/security_gate/gate_decisions_test.csv,docs/manuscript_citi2027/manuscript_citi2027_anonymous.tex,"Original vector monochrome TikZ matrix using text and hatch encoding",None,Not applicable,VERIFIED
Table6,table,"What offline CPU time is measured for training and attack evaluation?",Results before Table 6,"results/adversarial/adversarial_results_long.csv; results/baseline/*/timing_seed_*.json",docs/manuscript_citi2027/manuscript_citi2027_anonymous.tex,"LaTeX table aggregated from frozen per-condition and per-seed timings; normalized by subset size and six conditions",None,Not applicable,VERIFIED
