claim_id,manuscript_location,claim,evidence_file,evidence_field_or_rows,status
C01,Abstract and Results,"Nine models cover three datasets and three seeds; Phase 2 and Phase 3 are complete.",results/final/completeness_audit.json,"phase2 9/9; phase3 54/54",VERIFIED
C02,Abstract and Results,"All nine models pass the clean-only criterion; the full gate blocks four and passes five.",results/final/table_gate_value_added.csv,"clean_only_pass=9; full_gate_pass=5; changed_to_block=4",VERIFIED
C03,Results Table 3,"Worst-case recalls are CIC 0.986429±0.000528, Edge 0.000810±0.000555, and ToN 0.779289±0.222772.",results/final/table_worst_case_robustness.csv,"dataset mean and std rows",VERIFIED
C04,Results Table 2,"Clean full-test metrics are reported as three-seed mean±standard deviation.",results/final/table_clean_baselines.csv,"all dataset rows",VERIFIED
C05,Methodology,"The frozen gate thresholds are clean recall≥0.95, robust recall≥0.80, ASR≤0.20, and recall drop≤0.20.",results/security_gate/frozen_policy.json,"threshold fields",VERIFIED
C06,Methodology,"The policy was calibrated on validation evidence and then applied to test artifacts.",results/security_gate/frozen_policy.json,"calibration split and frozen policy provenance",VERIFIED
C07,Methodology,"CIC and Edge experimental populations are 1,000,000 and 999,996; ToN is 190,474.","configs/datasets/cic_iot_2023.yaml; configs/datasets/edge_iiotset.yaml; configs/datasets/ton_iot.yaml","experimental size and split fields",VERIFIED
C08,Methodology and Threats,"Edge has 22 raw features, 38 transformed dimensions, group-aware splitting, zero fingerprint overlap, and removed tcp.dstport.",results/baseline/edge_iiotset/feature_contract.json,"raw/model dimensions and removed feature; split audit",VERIFIED
C09,Methodology and Discussion,"Edge is classified as NO_DIRECT_LEAKAGE_WITH_DATASET_CONFOUNDING.",results/baseline/edge_iiotset/leakage_audit.json,"conclusion",VERIFIED
C10,Methodology,"Attackable features are Time_To_Live for CIC, udp.time_delta for Edge, and duration for ToN.","results/adversarial/cic_iot_2023/feature_attack_map.csv; results/adversarial/edge_iiotset/feature_attack_map.csv; results/adversarial/ton_iot/feature_attack_map.csv","attackable feature rows",VERIFIED
C11,Methodology,"Attacks are targeted FGSM and PGD at 1%, 3%, and 5% train-range-relative budgets.",configs/adversarial.yaml,"attack types and budgets",VERIFIED
C12,Results Figure 3,"Budget-response values come from reconciled seed means for all dataset/attack combinations.",results/final/budget_response_analysis.csv,"all rows",VERIFIED
C13,Results Table 4,"Gate decisions are CIC PASS/PASS/PASS, Edge BLOCK/BLOCK/BLOCK, ToN BLOCK/PASS/PASS for seeds 42/123/2026.",results/security_gate/gate_decisions_test.csv,"all nine decision rows",VERIFIED
C14,Results,"All adversarial conditions have zero recorded semantic violations.",results/final/master_results.csv,"semantic violation totals",VERIFIED
C15,Results Table 5,"Mean attack-suite times are CIC 1.5509 s, Edge 6.0326 s, and ToN 1.6216 s; training means are 256.66 s, 225.85 s, and 46.47 s.","results/adversarial/adversarial_results_long.csv; results/baseline/*/timing_seed_*.json","per-seed sum of six non-validation attack runtimes; training_seconds",VERIFIED
C16,All quantitative sections,"Reconciled final artifacts are cross-consistent.",results/final/cross_artifact_consistency.json,"status=PASS",VERIFIED
